Date,US.GOVT.B,US.GOVT.13,US.GOVT,US.AGG,GL.AGG.H,US.MBS,US.CORP,US.CORP.IND,US.CORP.FIN,US.CORP.UTIL,US.HY,EMD.USD,US.EQ,GL.EQ,AC.EQ,EM.EQ,HF.FOFD,HF.EVENT,HF.EQUITY,HF.RV,HF.MACRO,REIT,US.PE,GOLD,COMDTY
1995-10-31,118.27,235.3017,288.1585,661.33,161.056,681.55,795.64,784.14,792.87,822.35,409.32,93.41,581.5,691.6,171.78,448.11,1863.2736,2400.5938,3155.113,2339.1578,3709.3025,787.5459,8148.97,383,121.481
1995-11-30,118.82,237.3368,292.8316,671.24,163.895,689.34,810.87,799.25,806.79,838.1,412.93,96.56,605.37,714.51,176.88,439.69,1876.1302,2520.8635,3263.3333,2378.4556,3843.9501,795.4458,8316.3,387.8,123.379
1995-12-29,119.47,239.1195,296.9053,680.66,165.9911,697.95,824.23,813.39,818.22,851.79,419.42,103.19,615.93,734.28,181.9,458.37,1922.6582,2576.0704,3346.8747,2417.4623,3983.4855,839.0927,8482.87,387.1,129.908
1996-01-31,120.02,241.1171,298.8258,685.17,167.5114,703.21,829.55,817.03,826.08,855.97,426.8,111.99,636.02,746.45,185.64,490.52,1965.5335,2676.2796,3382.3515,2452.7573,4193.8136,855.162,8584.31,406.3,130.842
1996-02-29,120.46,240.3081,292.8994,673.27,165.015,697.37,809.84,796.29,811.67,832.98,427.14,105.56,640.43,749.86,186.09,481.92,1958.8507,2715.0856,3477.7338,2487.8317,4035.7068,861.7522,8835.96,400.75,133.634
1996-03-29,120.93,240.1307,290.3076,668.59,164.8342,694.85,802.94,789.06,805.3,826.95,426.85,107.93,645.5,761.18,188.64,484.8,1979.4186,2766.1292,3543.8108,2516.4418,4050.6389,860.515,9095.49,395.45,139.991
1996-04-30,121.44,240.2892,288.0351,664.83,165.1939,692.89,796.28,781.84,800.24,819.21,427.79,113.27,654.17,777.93,192.9,502.46,2049.49,2838.6018,3733.0503,2567.7772,4176.6138,863.3091,9844.67,391.65,146.847
1996-05-31,121.97,240.9454,287.9739,663.48,165.3962,690.87,794.89,781.32,798.68,816.91,430.36,115.03,669.12,777.44,192.76,498.99,2070.3948,2938.8044,3871.1731,2612.4565,4173.2725,886.7407,10547.84,391,146.185
1996-06-28,122.51,242.6465,291.5588,672.39,167.2925,700.38,806.55,792.82,808.4,831.43,433.92,118.22,670.63,780.2,193.48,501.04,2075.7778,2951.4413,3842.9136,2638.3198,4129.0358,898.9576,9976.66,380.45,145.942
1996-07-31,123.04,243.5701,292.1945,674.23,168.0836,702.95,808.11,794.26,809.83,832.67,435.94,119.49,639.95,751.45,185.93,465.87,2037.3759,2936.6841,3732.622,2623.0176,4003.5131,906.7001,8922.99,387.05,143.871
1996-08-30,123.62,244.4968,291.6264,673.1,168.7101,702.94,805.62,791.41,809.25,827.62,440.65,123.28,651.99,758.9,187.89,477.13,2058.7684,3007.7519,3830.7899,2663.1497,4032.7388,943.5915,9418.03,386.5,150.853
1996-09-30,124.23,246.6792,296.4199,684.83,171.9786,714.71,822.7,808.7,824.07,847.69,451.27,130.49,687.31,787.44,194.51,480.62,2073.1798,3067.0046,3914.3011,2684.4549,4113.7968,959.998,9818.95,378.4,151.621
1996-10-31,124.83,249.4744,303.0979,700,175.3326,728.73,845.16,832.06,843.18,872.48,454.74,131.57,705.27,791.75,194.98,467.43,2099.7165,3096.7545,3975.3642,2689.0185,4178.7948,990.8015,9567.69,378.05,149.508
1996-11-29,125.39,251.2775,308.1579,711.99,178.5638,739.16,863.22,850.79,858.05,892.06,463.71,138.05,757.02,834.93,205.08,474.71,2151.5795,3159.6186,4041.3553,2716.4465,4376.0339,1035.88,9736.54,371.65,157.848
1996-12-31,125.92,251.3134,305.0219,705.37,177.7346,735.29,851.3,838.44,848.9,877.71,467.03,139.55,740.74,820.36,201.78,476.31,2169.0073,3215.8598,4074.8985,2767.7873,4354.5914,1139.098,9994,367.7,160.001
1997-01-31,126.49,252.5139,305.487,707.53,178.8953,740.75,852.5,838.91,852.06,877.92,471.59,143.79,786.16,829.08,204.86,508.42,2254.8999,3307.1903,4188.1807,2805.9828,4578.4173,1151.783,10461.23,344.35,161.025
1997-02-28,126.98,253.1014,305.6335,709.29,179.6114,743.22,856.07,842.73,855.2,882.97,479.39,146.13,790.82,837.44,207.34,529.86,2301.1254,3337.9471,4178.1291,2836.568,4651.2142,1152.771,10153.44,363.45,162.713
1997-03-31,127.49,253.0228,302.5951,701.43,178.0428,736.22,842.74,828.42,844.43,869.09,472.25,141.26,757.12,819.68,202.84,514.61,2280.6454,3320.256,4147.6287,2817.8467,4593.5391,1142.106,9584.81,351.25,166.108
1997-04-30,128.11,254.9939,306.7615,711.93,180.4049,747.96,855.51,840.96,855.33,884.45,477.23,145.41,801.34,845.28,208.99,513.7,2283.3821,3292.6979,4136.4301,2854.4787,4583.4333,1116.073,9204.25,339.5,167.415
1997-05-30,128.79,256.7452,309.4482,718.66,181.8939,755.28,865.2,851.32,864.85,893.46,487.44,150.34,848.28,896.24,221.11,527.01,2308.271,3436.2595,4344.9062,2906.7156,4667.3102,1151.788,10143.37,344.65,169.885
1997-06-30,129.35,258.5155,312.9138,727.19,184.4042,764.09,877.45,864.6,874.77,907.23,494.2,153.63,885.14,939.75,232.08,554.12,2374.2876,3527.3204,4430.5009,2962.8152,4752.2552,1207.072,10718.61,333.95,160.121
1997-07-31,129.97,261.3336,321.9042,746.79,188.4134,778.49,909.56,899.01,900.81,943.27,507.77,159.98,954.29,981.84,242.24,561.32,2461.6613,3623.2635,4654.2412,3009.3314,5032.6383,1243.195,11282.26,324.55,165.319
1997-08-29,130.54,261.6065,318.5999,740.43,187.5273,776.65,896.13,884.15,890.93,927.94,506.62,159.21,899.47,914.97,224.92,489.24,2454.0302,3642.1045,4717.0734,3052.3649,4969.7303,1240.704,11777.21,324.15,165.153
1997-09-30,131.16,263.6021,323.4925,751.35,190.5341,786.49,911.81,900.44,904.76,945.37,516.66,163.62,947.28,963.49,236.58,502.05,2522.4976,3772.856,4985.4749,3109.1389,5121.3071,1339.809,12956.14,334.45,167.002
1997-10-31,131.74,265.5685,329.1369,762.25,192.5751,795.21,923.37,913.61,915.36,958.77,517.12,146.29,914.62,911.57,222.17,419.26,2465.2369,3789.8339,5004.9183,3138.9866,5039.3662,1305.667,12539.63,311.45,167.664
1997-11-28,132.28,266.2296,330.8614,765.76,193.7154,797.82,928.58,919.98,919.62,965.06,522.06,152.49,955.4,926.5,225.26,403.67,2444.529,3841.3756,4958.3725,3180.1073,5026.7677,1327.804,12292.72,297,161.008
1997-12-31,132.88,268.042,334.4197,773.47,195.8037,805.09,938.42,932.11,929.96,977.71,526.64,156.22,970.43,936.59,227.88,412.46,2466.0408,3898.6121,5028.7814,3208.7283,5174.052,1353.942,12194.87,289.05,154.579
1998-01-30,133.55,270.6346,339.5606,783.4,198.4131,813.1,949.55,942.21,941.58,989.4,536.12,156.97,980.28,961.49,232.58,379.8,2435.2153,3908.3586,5020.7354,3272.2611,5184.4001,1347.607,12151.11,302.45,155.15
1998-02-27,134.03,270.8637,338.4801,782.81,199.0281,814.82,949.24,941.92,942.84,988.54,539.26,161.12,1049.34,1025.3,248.16,419.23,2492.6864,4039.6795,5226.0834,3317.7455,5282.9037,1324.74,12939.21,299.15,148.477
1998-03-31,134.67,271.9198,339.5016,785.5,200.1458,818.27,952.75,944.93,946.27,992.06,544.32,164.78,1101.75,1067.35,258.39,436.02,2613.3324,4158.0421,5463.3476,3369.8341,5549.6904,1346.589,13617.62,300.95,148.907
1998-04-30,135.29,273.2238,340.9933,789.6,201.0992,822.9,958.77,950.32,952.6,998.22,546.47,165.16,1111.75,1076.53,260.45,430.41,2638.4204,4170.932,5539.2881,3434.8719,5542.4758,1303.301,13921.44,306.65,146.959
1998-05-29,135.88,274.6779,344.4836,797.09,203.3065,828.37,970.15,962.59,962.02,1011.44,548.37,160.17,1090.82,1061.79,255.14,370.1,2599.8995,4121.2979,5468.9392,3445.1766,5546.9098,1292.249,13222.55,292.95,139.721
1998-06-30,136.47,276.095,348.4819,803.85,204.7031,832.32,977.32,970.52,968.98,1016.87,550.34,156.11,1133.84,1085.74,259.39,330.52,2577.5403,4134.074,5496.2839,3450.6888,5578.5271,1284.195,12869.24,296.95,136.722
1998-07-31,137.09,277.4188,349.0236,805.56,205.8691,836.54,976.4,967.74,969.89,1016.57,553.47,157.02,1120.67,1082.74,259.12,339.83,2572.643,4110.5097,5459.4588,3433.0903,5591.3578,1200.006,12095.81,286.45,128.487
1998-08-31,137.78,280.7819,358.4082,818.67,209.3935,844.13,980.97,973.85,973.86,1025.02,522.93,114.09,957.28,937.09,222.45,240.31,2373.2632,3744.6744,5041.8102,3233.9711,5384.4775,1075.843,9527.91,275.55,120.346
1998-09-30,138.54,284.5889,368.4095,837.84,214.1547,854.32,1012.75,1008.11,1000.19,1066.21,525.29,123.95,1017.01,952.39,226.53,254.87,2302.3026,3721.4574,5201.1314,3240.1156,5357.5551,1144.13,10038.27,296.95,129.683
1998-10-30,139.11,286.0409,367.1415,833.42,213.5594,853.22,997.13,988.48,987.01,1048.3,514.53,131.87,1098.67,1037.21,246.87,281.4,2255.5658,3767.9756,5329.5993,3224.5631,5259.5119,1112.972,10349.47,292.55,125.826
1998-11-30,139.51,285.7163,367.1839,838.14,215.3328,857.47,1015.92,1009.5,1006.28,1061.43,535.88,140.91,1163.63,1097.62,261.53,304.53,2260.077,3859.5374,5534.2559,3278.0908,5363.6502,1133.232,11146.13,293.2,116.76
1998-12-31,140.06,286.7382,367.8765,840.66,214.9343,861.11,1018.87,1010.64,1008.98,1069.98,536.47,138.18,1229.23,1149.95,273.3,298.97,2330.5914,3964.9028,5832.5523,3298.7428,5494.5233,1099.094,11469.1,288.25,112.796
1999-01-29,140.6,287.848,370.1321,846.66,217.5869,867.24,1028.94,1021.91,1017.86,1080.56,544.43,135.04,1279.64,1173.84,278.55,293.91,2368.347,4030.3237,6123.0135,3384.84,5539.0289,1077.241,12023.69,286.15,112.304
1999-02-26,141.01,286.5679,360.7716,831.88,214.8623,863.81,1004.52,994.38,998.86,1055.49,541.23,136.37,1238.33,1141.33,271.21,296.56,2361.7156,4010.9781,5975.4488,3388.5633,5470.345,1048.316,11214.45,287.05,108.391
1999-03-31,141.62,288.4901,362.1994,836.49,216.5595,869.61,1011.63,1000.41,1006.63,1063.02,546.39,145.41,1286.37,1187.55,283.04,334.75,2413.6733,4093.6043,6217.4545,3407.8781,5528.8776,1043.053,11113.33,280.05,118.779
1999-04-30,142.13,289.4304,363.0083,839.14,218.2112,873.62,1014.59,1001.4,1010.25,1064.93,556.98,154.35,1335.18,1233.06,294.92,375.66,2501.531,4303.6062,6543.8709,3503.2987,5742.2923,1144.332,12152.53,286.55,123.581
1999-05-31,142.64,289.233,359.7623,831.79,216.9538,868.74,1001.02,987.31,998.51,1051.82,549.44,146.38,1301.84,1186.7,284.11,372.33,2525.0454,4389.6783,6623.7061,3544.2873,5690.6117,1169.513,12515.64,270.35,115.987
